Código,Nombre,Descripción,Inicio,Fin,Estado,Sigla,Nombre,Tipo,,Tema,Total,Total Hombres,Total Mujeres,Departamento
200708 - 62,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200769,SOCORRO COMUNIDADES,2015-11-10,2016-04-08,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,99876,Seguridad Alimentaria y Nutrición (SAN),6231 Directos,3297 Hombres,2934 Mujeres,Chocó
200708 - 64,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200771,ALIMENTOS POR CAPACITACION,2015-10-02,2016-01-02,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,194,Seguridad Alimentaria y Nutrición (SAN),7 Directos,1 Hombres,6 Mujeres,Chocó
200708 - 65,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200772,SOCORRO COMUNIDADES,2015-11-11,2016-02-09,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,80137,Seguridad Alimentaria y Nutrición (SAN),5796 Directos,3122 Hombres,2674 Mujeres,Chocó
200708 - 66,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200773,ALIMENTOS POR CAPACITACION,2015-11-23,2016-01-22,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,41477,Seguridad Alimentaria y Nutrición (SAN),998 Directos,510 Hombres,488 Mujeres,Chocó
200708 - 68,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200775,ALIMENTOS POR CAPACITACION,2015-11-13,2016-01-13,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,88,Seguridad Alimentaria y Nutrición (SAN),12 Directos,6 Hombres,6 Mujeres,Chocó
200708 - 69,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200776,ALIMENTOS POR CAPACITACION,2015-11-13,2016-03-13,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,75,Seguridad Alimentaria y Nutrición (SAN),7 Directos,3 Hombres,4 Mujeres,Chocó
200708 - 70,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200777,ALIMENTO POR ACTIVOS,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,59914,Seguridad Alimentaria y Nutrición (SAN),1680 Directos,857 Hombres,823 Mujeres,Córdoba
200708 - 71,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200778,ALIMENTO POR ACTIVOS,2015-11-04,2016-02-04,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,50,Seguridad Alimentaria y Nutrición (SAN),2 Directos,,2 Mujeres,Córdoba
200708 - 72,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200779,ALIMENTO POR ACTIVOS,2015-12-07,2016-02-07,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,327,Seguridad Alimentaria y Nutrición (SAN),10 Directos,3 Hombres,7 Mujeres,Córdoba
200708 - 73,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200780,ALIMENTO POR ACTIVOS,2015-12-07,2016-03-07,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,33434,Seguridad Alimentaria y Nutrición (SAN),890 Directos,464 Hombres,426 Mujeres,Córdoba
200708 - 74,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200781,ALIMENTOS POR CAPACITACION,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,41252,Seguridad Alimentaria y Nutrición (SAN),2019 Directos,1070 Hombres,949 Mujeres,Córdoba
200708 - 75,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200782,ALIMENTOS POR CAPACITACION,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,1852,Seguridad Alimentaria y Nutrición (SAN),135 Directos,70 Hombres,65 Mujeres,Córdoba
200708 - 76,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200783,ALIMENTOS POR CAPACITACION,2015-12-11,2016-03-11,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,5299,Seguridad Alimentaria y Nutrición (SAN),150 Directos,78 Hombres,72 Mujeres,Córdoba
200708 - 78,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200785,ALIMENTOS POR CAPACITACION,2015-11-10,2016-02-10,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,642,Seguridad Alimentaria y Nutrición (SAN),29 Directos,11 Hombres,18 Mujeres,Córdoba
200708 - 79,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200786,ALIMENTOS POR CAPACITACION,2015-12-11,2016-02-11,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,164,Seguridad Alimentaria y Nutrición (SAN),5 Directos,2 Hombres,3 Mujeres,Córdoba
200708 - 80,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200787,ALIMENTOS POR CAPACITACION,2015-12-11,2016-03-11,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,31138,Seguridad Alimentaria y Nutrición (SAN),938 Directos,485 Hombres,453 Mujeres,Córdoba
200708 - 81,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200788,ALIMENTOS POR CAPACITACION,2015-12-14,2016-03-14,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,264,Seguridad Alimentaria y Nutrición (SAN),8 Directos,4 Hombres,4 Mujeres,Córdoba
200708 - 82,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200789,ALIMENTO POR ACTIVOS,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,27547,Seguridad Alimentaria y Nutrición (SAN),1000 Directos,503 Hombres,497 Mujeres,Córdoba
200708 - 83,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200790,ALIMENTO POR ACTIVOS,2015-12-01,2016-03-01,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,38386,Seguridad Alimentaria y Nutrición (SAN),1001 Directos,516 Hombres,485 Mujeres,Córdoba
200708 - 84,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200791,ALIMENTOS POR CAPACITACION,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,4092,Seguridad Alimentaria y Nutrición (SAN),150 Directos,66 Hombres,84 Mujeres,Córdoba
200708 - 85,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200792,ALIMENTO POR ACTIVOS,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,34399,Seguridad Alimentaria y Nutrición (SAN),1513 Directos,804 Hombres,709 Mujeres,Córdoba
200708 - 86,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200793,ALIMENTOS POR CAPACITACION,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,18159,Seguridad Alimentaria y Nutrición (SAN),315 Directos,137 Hombres,178 Mujeres,Córdoba
200708 - 88,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200795,ALIMENTO POR ACTIVOS,2015-11-09,2016-02-09,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,101,Seguridad Alimentaria y Nutrición (SAN),4 Directos,2 Hombres,2 Mujeres,Córdoba
200708 - 89,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200796,ALIMENTO POR ACTIVOS,2015-12-11,2016-02-11,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,806,Seguridad Alimentaria y Nutrición (SAN),24 Directos,12 Hombres,12 Mujeres,Córdoba
200708 - 90,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200797,ALIMENTO POR ACTIVOS,2015-12-11,2016-03-11,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,33594,Seguridad Alimentaria y Nutrición (SAN),965 Directos,534 Hombres,431 Mujeres,Córdoba
200708 - 91,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200798,ALIMENTOS POR CAPACITACION,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,20159,Seguridad Alimentaria y Nutrición (SAN),735 Directos,354 Hombres,381 Mujeres,Córdoba
200708 - 92,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200799,ALIMENTO POR ACTIVOS,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,41266,Seguridad Alimentaria y Nutrición (SAN),1000 Directos,448 Hombres,552 Mujeres,Córdoba
200708 - 94,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200801,ALIMENTO POR ACTIVOS,2015-11-10,2016-02-10,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,353,Seguridad Alimentaria y Nutrición (SAN),14 Directos,6 Hombres,8 Mujeres,Córdoba
200708 - 95,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200802,ALIMENTO POR ACTIVOS,2015-12-11,2016-03-11,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,36299,Seguridad Alimentaria y Nutrición (SAN),982 Directos,526 Hombres,456 Mujeres,Córdoba
200708 - 96,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200803,ALIMENTO POR ACTIVOS,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,41266,Seguridad Alimentaria y Nutrición (SAN),1001 Directos,490 Hombres,511 Mujeres,Córdoba
200708 - 97,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200804,ALIMENTO POR ACTIVOS,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,23358,Seguridad Alimentaria y Nutrición (SAN),347 Directos,178 Hombres,169 Mujeres,Córdoba
200708 - 98,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200805,ALIMENTO POR ACTIVOS,2015-11-27,2016-02-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,21346,Seguridad Alimentaria y Nutrición (SAN),564 Directos,303 Hombres,261 Mujeres,Córdoba
200708 - 99,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200806,ALIMENTOS POR CAPACITACION,2015-12-11,2016-04-11,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,189,Seguridad Alimentaria y Nutrición (SAN),5 Directos,3 Hombres,2 Mujeres,La Guajira
200708 - 100,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200807,ALIMENTO POR ACTIVOS,2015-09-01,2016-01-01,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,2,Seguridad Alimentaria y Nutrición (SAN),2 Directos,2 Hombres,,La Guajira
200708 - 101,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200808,ALIMENTO POR ACTIVOS,2015-11-17,2016-04-17,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,491,Seguridad Alimentaria y Nutrición (SAN),13 Directos,5 Hombres,8 Mujeres,La Guajira
200708 - 102,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200809,ALIMENTO POR ACTIVOS,2015-12-10,2016-04-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,340,Seguridad Alimentaria y Nutrición (SAN),10 Directos,7 Hombres,3 Mujeres,La Guajira
200708 - 103,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200810,ALIMENTO POR ACTIVOS,2015-11-25,2016-03-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,76,Seguridad Alimentaria y Nutrición (SAN),3 Directos,1 Hombres,2 Mujeres,La Guajira
200708 - 105,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200812,ALIMENTOS POR CAPACITACION,2015-09-01,2016-01-01,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,201,Seguridad Alimentaria y Nutrición (SAN),16 Directos,9 Hombres,7 Mujeres,La Guajira
200708 - 106,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200813,ALIMENTOS POR CAPACITACION,2015-10-27,2016-02-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,818,Seguridad Alimentaria y Nutrición (SAN),33 Directos,19 Hombres,14 Mujeres,La Guajira
200708 - 107,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200814,ALIMENTOS POR CAPACITACION,2015-10-27,2016-03-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,176,Seguridad Alimentaria y Nutrición (SAN),7 Directos,3 Hombres,4 Mujeres,La Guajira
200708 - 108,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200815,ALIMENTOS POR CAPACITACION,2015-12-11,2016-04-11,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,20169,Seguridad Alimentaria y Nutrición (SAN),654 Directos,339 Hombres,315 Mujeres,La Guajira
200708 - 109,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200816,ALIMENTOS POR CAPACITACION,2015-12-11,2016-05-11,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,3173,Seguridad Alimentaria y Nutrición (SAN),107 Directos,54 Hombres,53 Mujeres,La Guajira
200708 - 110,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200817,ALIMENTO POR ACTIVOS,2015-11-10,2016-03-09,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,4494,Seguridad Alimentaria y Nutrición (SAN),325 Directos,156 Hombres,169 Mujeres,La Guajira
200708 - 111,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200818,ALIMENTO POR ACTIVOS,2015-12-11,2016-01-11,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,63,Seguridad Alimentaria y Nutrición (SAN),5 Directos,1 Hombres,4 Mujeres,La Guajira
200708 - 112,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200819,ALIMENTOS POR CAPACITACION,2015-10-27,2016-02-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,76,Seguridad Alimentaria y Nutrición (SAN),3 Directos,1 Hombres,2 Mujeres,La Guajira
200708 - 113,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200820,ALIMENTOS POR CAPACITACION,2015-10-27,2016-03-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,252,Seguridad Alimentaria y Nutrición (SAN),10 Directos,5 Hombres,5 Mujeres,La Guajira
200708 - 114,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200821,ALIMENTOS POR CAPACITACION,2015-12-11,2016-04-11,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,3904,Seguridad Alimentaria y Nutrición (SAN),117 Directos,63 Hombres,54 Mujeres,La Guajira
200708 - 115,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200822,ALIMENTOS POR CAPACITACION,2015-12-11,2016-05-11,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,2078,Seguridad Alimentaria y Nutrición (SAN),71 Directos,36 Hombres,35 Mujeres,La Guajira
200708 - 116,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200823,ALIMENTO POR ACTIVOS,2015-09-08,2016-01-08,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,41,Seguridad Alimentaria y Nutrición (SAN),3 Directos,2 Hombres,1 Mujeres,La Guajira
200708 - 118,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200825,ALIMENTO POR ACTIVOS,2015-12-10,2016-04-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,27527,Seguridad Alimentaria y Nutrición (SAN),1105 Directos,499 Hombres,606 Mujeres,La Guajira
200708 - 119,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200826,ALIMENTO POR ACTIVOS,2015-12-10,2016-05-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,63,Seguridad Alimentaria y Nutrición (SAN),5 Directos,1 Hombres,4 Mujeres,La Guajira
200708 - 120,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200827,ALIMENTO POR ACTIVOS,2015-11-10,2016-03-09,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,415,Seguridad Alimentaria y Nutrición (SAN),38 Directos,18 Hombres,20 Mujeres,La Guajira
200708 - 122,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200829,ALIMENTO POR ACTIVOS,2015-11-13,2016-04-13,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,10915,Seguridad Alimentaria y Nutrición (SAN),234 Directos,113 Hombres,121 Mujeres,La Guajira
200708 - 123,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200830,ALIMENTO POR ACTIVOS,2015-11-19,2016-03-19,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,869,Seguridad Alimentaria y Nutrición (SAN),69 Directos,31 Hombres,38 Mujeres,La Guajira
200708 - 124,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200831,ALIMENTO POR ACTIVOS,2015-12-10,2016-04-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,30991,Seguridad Alimentaria y Nutrición (SAN),1285 Directos,609 Hombres,676 Mujeres,La Guajira
200708 - 125,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200832,ALIMENTO POR ACTIVOS,2015-12-10,2016-05-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,630,Seguridad Alimentaria y Nutrición (SAN),31 Directos,12 Hombres,19 Mujeres,La Guajira
200708 - 126,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200833,ALIMENTO POR ACTIVOS,2015-11-03,2016-03-03,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,12868,Seguridad Alimentaria y Nutrición (SAN),1184 Directos,540 Hombres,644 Mujeres,La Guajira
200708 - 127,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200834,ALIMENTO POR ACTIVOS,2015-12-10,2016-04-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,3992,Seguridad Alimentaria y Nutrición (SAN),510 Directos,241 Hombres,269 Mujeres,La Guajira
200708 - 128,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200835,ALIMENTOS POR CAPACITACION,2015-11-19,2016-03-19,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,3425,Seguridad Alimentaria y Nutrición (SAN),272 Directos,134 Hombres,138 Mujeres,La Guajira
200708 - 129,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200836,ALIMENTOS POR CAPACITACION,2015-12-04,2016-04-04,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,113,Seguridad Alimentaria y Nutrición (SAN),213 Directos,96 Hombres,117 Mujeres,La Guajira
200708 - 130,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200837,ALIMENTOS POR CAPACITACION,2015-12-11,2016-04-11,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,3979,Seguridad Alimentaria y Nutrición (SAN),110 Directos,59 Hombres,51 Mujeres,La Guajira
200708 - 131,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200838,ALIMENTO POR ACTIVOS,2015-09-08,2016-01-08,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,55,Seguridad Alimentaria y Nutrición (SAN),4 Directos,,4 Mujeres,La Guajira
200708 - 133,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200840,ALIMENTO POR ACTIVOS,2015-11-17,2016-03-17,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,453,Seguridad Alimentaria y Nutrición (SAN),12 Directos,5 Hombres,7 Mujeres,La Guajira
200708 - 134,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200841,ALIMENTO POR ACTIVOS,2015-11-17,2016-04-17,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,3211,Seguridad Alimentaria y Nutrición (SAN),87 Directos,45 Hombres,42 Mujeres,La Guajira
200708 - 135,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200842,ALIMENTO POR ACTIVOS,2015-11-19,2016-03-19,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,113,Seguridad Alimentaria y Nutrición (SAN),9 Directos,5 Hombres,4 Mujeres,La Guajira
200708 - 136,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200843,ALIMENTO POR ACTIVOS,2015-12-10,2016-01-10,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,214,Seguridad Alimentaria y Nutrición (SAN),4 Directos,1 Hombres,3 Mujeres,La Guajira
200708 - 137,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200844,ALIMENTO POR ACTIVOS,2015-12-10,2016-04-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,18007,Seguridad Alimentaria y Nutrición (SAN),880 Directos,434 Hombres,446 Mujeres,La Guajira
200708 - 138,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200845,ALIMENTO POR ACTIVOS,2015-12-10,2016-05-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,441,Seguridad Alimentaria y Nutrición (SAN),63 Directos,29 Hombres,34 Mujeres,La Guajira
200708 - 139,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200846,ALIMENTO POR ACTIVOS,2015-11-10,2016-03-09,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,2392,Seguridad Alimentaria y Nutrición (SAN),173 Directos,78 Hombres,95 Mujeres,La Guajira
200708 - 140,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200847,ALIMENTO POR ACTIVOS,2015-10-20,2016-02-20,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,894,Seguridad Alimentaria y Nutrición (SAN),37 Directos,21 Hombres,16 Mujeres,La Guajira
200708 - 142,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200849,ALIMENTO POR ACTIVOS,2015-11-25,2016-03-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,5087,Seguridad Alimentaria y Nutrición (SAN),220 Directos,141 Hombres,79 Mujeres,La Guajira
200708 - 143,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200850,ALIMENTO POR ACTIVOS,2015-12-10,2016-01-10,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,416,Seguridad Alimentaria y Nutrición (SAN),28 Directos,17 Hombres,11 Mujeres,La Guajira
200708 - 144,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200851,ALIMENTO POR ACTIVOS,2015-12-10,2016-03-10,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,101,Seguridad Alimentaria y Nutrición (SAN),4 Directos,1 Hombres,3 Mujeres,La Guajira
200708 - 146,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200853,ALIMENTO POR ACTIVOS,2015-10-23,2016-02-23,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,83,Seguridad Alimentaria y Nutrición (SAN),8 Directos,2 Hombres,6 Mujeres,La Guajira
200708 - 148,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200855,ALIMENTO POR ACTIVOS,2015-12-10,2016-04-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,50925,Seguridad Alimentaria y Nutrición (SAN),2157 Directos,1037 Hombres,1120 Mujeres,La Guajira
200708 - 149,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200856,ALIMENTO POR ACTIVOS,2015-12-10,2016-05-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,189,Seguridad Alimentaria y Nutrición (SAN),15 Directos,8 Hombres,7 Mujeres,La Guajira
200708 - 150,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200857,ALIMENTO POR ACTIVOS,2015-12-17,2016-01-16,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,12941,Seguridad Alimentaria y Nutrición (SAN),936 Directos,432 Hombres,504 Mujeres,La Guajira
200708 - 152,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200859,ALIMENTO POR ACTIVOS,2015-11-20,2016-02-18,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,15786,Seguridad Alimentaria y Nutrición (SAN),1144 Directos,581 Hombres,563 Mujeres,Nariño
200708 - 153,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200860,ALIMENTOS POR CAPACITACION,2015-11-27,2016-03-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,41433,Seguridad Alimentaria y Nutrición (SAN),1230 Directos,634 Hombres,596 Mujeres,Nariño
200708 - 154,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200861,ALIMENTOS POR CAPACITACION,2015-12-07,2016-02-07,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,24564,Seguridad Alimentaria y Nutrición (SAN),995 Directos,389 Hombres,606 Mujeres,Nariño
200708 - 155,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200862,ALIMENTO POR ACTIVOS,2015-11-06,2016-03-05,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,258,Seguridad Alimentaria y Nutrición (SAN),6 Directos,3 Hombres,3 Mujeres,Nariño
200708 - 156,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200863,ALIMENTOS POR CAPACITACION,2015-11-06,2016-03-05,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,22028,Seguridad Alimentaria y Nutrición (SAN),512 Directos,254 Hombres,258 Mujeres,Nariño
200708 - 158,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200865,ALIMENTO POR ACTIVOS,2015-11-19,2016-01-18,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,19472,Seguridad Alimentaria y Nutrición (SAN),908 Directos,458 Hombres,450 Mujeres,Nariño
200708 - 159,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200866,ALIMENTO POR ACTIVOS,2015-10-13,2016-02-10,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,14036,Seguridad Alimentaria y Nutrición (SAN),1015 Directos,483 Hombres,532 Mujeres,Nariño
200708 - 160,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200867,ALIMENTO POR ACTIVOS,2015-11-27,2016-03-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,27044,Seguridad Alimentaria y Nutrición (SAN),496 Directos,254 Hombres,242 Mujeres,Nariño
200708 - 164,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200871,ALIMENTO POR ACTIVOS,2015-11-06,2016-03-05,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,18914,Seguridad Alimentaria y Nutrición (SAN),456 Directos,224 Hombres,232 Mujeres,Nariño
200708 - 165,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200872,ALIMENTO POR ACTIVOS,2015-11-19,2016-03-18,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,45815,Seguridad Alimentaria y Nutrición (SAN),1148 Directos,550 Hombres,598 Mujeres,Nariño
200708 - 166,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200873,ALIMENTO POR ACTIVOS,2015-11-09,2016-03-08,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,7333,Seguridad Alimentaria y Nutrición (SAN),266 Directos,124 Hombres,142 Mujeres,Nariño
200708 - 167,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200874,ALIMENTO POR ACTIVOS,2015-11-09,2016-03-08,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,15711,Seguridad Alimentaria y Nutrición (SAN),569 Directos,262 Hombres,307 Mujeres,Nariño
200708 - 168,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200875,ALIMENTOS POR CAPACITACION,2015-12-14,2016-02-14,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,21758,Seguridad Alimentaria y Nutrición (SAN),863 Directos,422 Hombres,441 Mujeres,Nariño
